	Ensembl_ID	Gene	Description	Chromosome_Name	Start_Position	End_Position	Strand	Gene_GC_Percent	Biotype	RefSeq_ID	Unigene_ID	Entrez_ID
ENSG00000226705	ENSG00000226705	SDCBPP1	syndecan binding protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44684]	10	6293100	6294684	-1	43.41	processed_pseudogene			NA
ENSG00000226706	ENSG00000226706	AL161452.1		9	135503273	135506447	-1	61.13	antisense_RNA		Hs.713076	101928525
ENSG00000226707	ENSG00000226707	AL359458.1		6	49823712	49824782	-1	36.13	lincRNA			NA
ENSG00000226708	ENSG00000226708	AC073409.1		2	123443266	123444445	-1	38.73	lincRNA		Hs.541799	NA
ENSG00000226709	ENSG00000226709	FGF12-AS3	FGF12 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:40236]	3	192516831	192521398	1	34.08	antisense_RNA		Hs.185577	NA
ENSG00000226710	ENSG00000226710	C6orf48	chromosome 6 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:19078]	CHR_HSCHR6_MHC_COX_CTG1	31821974	31827129	1	48.88	protein_coding	, NM_001287483, NM_001040437, NM_001287485, NM_001287482, NM_001287486, NM_001287487, NM_001287488, NM_001287484, NM_001040438		50854
ENSG00000226711	ENSG00000226711	FAM66C	family with sequence similarity 66 member C [Source:HGNC Symbol;Acc:HGNC:21644]	12	8180209	8216151	1	42.24	antisense_RNA			NA
ENSG00000226713	ENSG00000226713	MICD	MHC class I polypeptide-related sequence D (pseudogene) [Source:HGNC Symbol;Acc:HGNC:7093]	CHR_HSCHR6_MHC_DBB_CTG1	29960749	29962411	-1	57.25	unprocessed_pseudogene			NA
ENSG00000226714	ENSG00000226714	AL669978.1		CHR_HSCHR6_MHC_COX_CTG1	28862047	28862678	1	56.8	processed_pseudogene			NA
ENSG00000226715	ENSG00000226715	LINC01709	long intergenic non-protein coding RNA 1709 [Source:HGNC Symbol;Acc:HGNC:52497]	1	101639548	101787572	1	35.34	lincRNA			NA
ENSG00000226716	ENSG00000226716	AL589986.1		1	152122534	152125065	1	42.54	antisense_RNA		Hs.576463	NA
ENSG00000226717	ENSG00000226717	PTPRD-AS2	PTPRD antisense RNA 2 (head to head) [Source:HGNC Symbol;Acc:HGNC:49754]	9	10613202	10620420	1	39.23	lincRNA		Hs.434446	101929428
ENSG00000226718	ENSG00000226718	SNRPGP8	small nuclear ribonucleoprotein polypeptide G pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:39327]	2	227778510	227778735	-1	40.27	processed_pseudogene			NA
ENSG00000226721	ENSG00000226721	EEF1DP2	eukaryotic translation elongation factor 1 delta pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33523]	9	92836826	92837668	-1	58.72	processed_pseudogene			NA
ENSG00000226722	ENSG00000226722	LINC00424	long intergenic non-protein coding RNA 424 [Source:HGNC Symbol;Acc:HGNC:42815]	13	21872770	21878160	-1	42.48	lincRNA		Hs.148951	100874182
ENSG00000226723	ENSG00000226723	AL513175.1		1	192246708	192247487	-1	38.72	processed_pseudogene			NA
ENSG00000226724	ENSG00000226724	AC109780.2		3	186698520	186708574	1	40.9	unprocessed_pseudogene			NA
ENSG00000226725	ENSG00000226725	PABPC1L2B-AS1	PABPC1L2B antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:50345]	X	72998388	73002856	-1	50.75	antisense_RNA			101928345
ENSG00000226726	ENSG00000226726	TMEM256P2	transmembrane protein 256 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:45088]	2	221532668	221533008	1	57.18	processed_pseudogene			NA
ENSG00000226727	ENSG00000226727	HLA-T	major histocompatibility complex, class I, T (pseudogene) [Source:HGNC Symbol;Acc:HGNC:23478]	CHR_HSCHR6_MHC_MANN_CTG1	29887395	29888526	1	52.03	unprocessed_pseudogene			NA
ENSG00000226729	ENSG00000226729	AC004815.1		12	119959424	119959754	1	44.11	processed_pseudogene			NA
ENSG00000226732	ENSG00000226732	ZDHHC20P2	zinc finger DHHC-type containing 20 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33457]	CHR_HSCHR6_MHC_MANN_CTG1	31423425	31423853	1	42.19	processed_pseudogene			NA
ENSG00000226733	ENSG00000226733	AL138826.1		6	50093616	50181007	1	34.69	protein_coding			NA
ENSG00000226734	ENSG00000226734	SNRPGP12	small nuclear ribonucleoprotein polypeptide G pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:39331]	10	110139214	110139426	-1	37.09	processed_pseudogene			NA
ENSG00000226736	ENSG00000226736	BX284699.1		CHR_HSCHR6_MHC_SSTO_CTG1	29878595	29879557	-1	65.11	unprocessed_pseudogene			NA
ENSG00000226738	ENSG00000226738	U62317.1		22	50546415	50547652	1	73.34	antisense_RNA			NA
ENSG00000226739	ENSG00000226739	AL358972.1		6	164346489	164348644	-1	45.78	lincRNA			NA
ENSG00000226741	ENSG00000226741	LINC02554	long intergenic non-protein coding RNA 2554 [Source:HGNC Symbol;Acc:HGNC:53594]	22	27310651	27317456	1	50.34	lincRNA		Hs.537371	100507657
ENSG00000226742	ENSG00000226742	HSBP1L1	heat shock factor binding protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:37243]	18	79964561	79970822	1	50.54	protein_coding	NM_001136180, 		440498
ENSG00000226744	ENSG00000226744	AC005326.1		7	97870167	97870289	1	46.34	processed_pseudogene			NA
ENSG00000226745	ENSG00000226745	AL512599.1		1	40132764	40133448	1	59.71	processed_pseudogene			NA
ENSG00000226746	ENSG00000226746	SMCR5	Smith-Magenis syndrome chromosome region, candidate 5 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:17918]	17	17776686	17779529	-1	54.82	antisense_RNA		Hs.352643	140771
ENSG00000226747	ENSG00000226747	AC007966.1		2	185719874	185740479	-1	35.77	antisense_RNA		Hs.244783	101927196
ENSG00000226750	ENSG00000226750	AL360271.2		1	242345558	242345718	1	46.58	unprocessed_pseudogene			NA
ENSG00000226751	ENSG00000226751	AF127936.1		21	14761710	14763090	-1	35.05	lincRNA			NA
ENSG00000226752	ENSG00000226752	PSMD5-AS1	PSMD5 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:27367]	9	120824828	120854385	1	42.77	transcribed_unitary_pseudogene			NA
ENSG00000226753	ENSG00000226753	AL451105.1		X	75888700	75888888	1	40.74	processed_pseudogene			NA
ENSG00000226754	ENSG00000226754	AL606760.1		1	53238610	53242783	1	44.9	antisense_RNA		Hs.592502	100507564
ENSG00000226755	ENSG00000226755	VPS25P1	VPS25 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44250]	1	117549415	117549922	1	50.39	processed_pseudogene			NA
ENSG00000226756	ENSG00000226756	AC007365.1		2	64644612	64646698	1	40.49	lincRNA			NA
ENSG00000226757	ENSG00000226757	PP12613	uncharacterized LOC100192379 [Source:NCBI gene;Acc:100192379]	4	121764585	121766814	1	54.26	antisense_RNA		Hs.607691	100192379
ENSG00000226758	ENSG00000226758	DISC1-IT1	DISC1 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41325]	1	231925834	231945233	1	44.91	sense_intronic			104472714
ENSG00000226759	ENSG00000226759	DAB1-AS1	DAB1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49443]	1	57860532	57880905	1	40.55	antisense_RNA		Hs.662207	101926890
ENSG00000226761	ENSG00000226761	TAS2R46	taste 2 receptor member 46 [Source:HGNC Symbol;Acc:HGNC:18877]	12	11061365	11062294	-1	38.71	protein_coding	NM_176887	Hs.688193	259292
ENSG00000226762	ENSG00000226762	AL451164.1		10	3240371	3257210	-1	45.94	lincRNA			NA
ENSG00000226763	ENSG00000226763	SRRM5	serine/arginine repetitive matrix 5 [Source:HGNC Symbol;Acc:HGNC:37248]	19	43596617	43614497	1	50.64	protein_coding	, NM_001145641		100170229
ENSG00000226764	ENSG00000226764	AC010145.1		2	15997049	16062885	-1	46.08	lincRNA		Hs.148389	NA
ENSG00000226765	ENSG00000226765	RPSAP33	ribosomal protein SA pseudogene 33 [Source:HGNC Symbol;Acc:HGNC:35556]	3	168666559	168667423	1	47.86	processed_pseudogene			NA
ENSG00000226766	ENSG00000226766	FABP7P1	fatty acid binding protein 7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:41951]	1	243624666	243625056	-1	40.41	processed_pseudogene			NA
ENSG00000226767	ENSG00000226767	AC114501.1		7	65508773	65508944	-1	68.6	processed_pseudogene			NA
ENSG00000226768	ENSG00000226768	LINC01149	long intergenic non-protein coding RNA 1149 [Source:HGNC Symbol;Acc:HGNC:39757]	CHR_HSCHR6_MHC_SSTO_CTG1	31435351	31440654	1	42.99	processed_transcript		Hs.686866	101929111
ENSG00000226769	ENSG00000226769	GAPDHP54	glyceraldehyde 3 phosphate dehydrogenase pseudogene 54 [Source:HGNC Symbol;Acc:HGNC:38560]	20	46997596	46998488	1	51.18	processed_pseudogene			NA
ENSG00000226770	ENSG00000226770	AC000124.1		7	127476883	127485804	1	37.47	lincRNA		Hs.148450	100506682
ENSG00000226771	ENSG00000226771	AP001136.1		21	21223295	21226829	-1	33.66	antisense_RNA			NA
ENSG00000226772	ENSG00000226772	AL021393.1		22	29099041	29111683	-1	43.28	antisense_RNA			NA
ENSG00000226773	ENSG00000226773	AL663109.1		1	92203148	92203991	1	35.9	processed_pseudogene			NA
ENSG00000226774	ENSG00000226774	AC073910.1		X	23351013	23351450	1	41.55	processed_pseudogene			NA
ENSG00000226776	ENSG00000226776	KRTAP3-4P	keratin associated protein 3-4, pseudogene [Source:HGNC Symbol;Acc:HGNC:18919]	17	41004481	41004760	-1	57.14	unprocessed_pseudogene			NA
ENSG00000226777	ENSG00000226777	FAM30A	family with sequence similarity 30 member A [Source:HGNC Symbol;Acc:HGNC:19955]	14	105917979	105932642	1	55.93	lincRNA		Hs.649259	9834
ENSG00000226779	ENSG00000226779	NAALADL2-AS2	NAALADL2 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:41015]	3	175234861	175271096	-1	34.41	antisense_RNA			NA
ENSG00000226780	ENSG00000226780	AC244035.2		1	206117783	206126805	1	38.82	antisense_RNA			NA
ENSG00000226781	ENSG00000226781	TBCAP1	tubulin folding cofactor A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:42630]	X	33041395	33041721	1	41.28	processed_pseudogene			NA
ENSG00000226782	ENSG00000226782	AC117465.1		3	177337628	177349166	-1	40.93	lincRNA		Hs.610809	NA
ENSG00000226783	ENSG00000226783	TLK1P1	tousled like kinase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:28608]	9	122685933	122688372	1	40.45	processed_pseudogene			NA
ENSG00000226784	ENSG00000226784	PGAM4	phosphoglycerate mutase family member 4 [Source:HGNC Symbol;Acc:HGNC:21731]	X	77968874	77969638	-1	55.69	protein_coding	NM_001029891		441531
ENSG00000226785	ENSG00000226785	AC068599.1		2	34383788	34635340	1	37.29	lincRNA		Hs.580487	NA
ENSG00000226788	ENSG00000226788	RING1	ring finger protein 1 [Source:HGNC Symbol;Acc:HGNC:10018]	CHR_HSCHR6_MHC_COX_CTG1	33130117	33134342	1	52.98	protein_coding	NM_002931, 	Hs.631989	6015
ENSG00000226789	ENSG00000226789	AC110926.1		2	127247258	127250082	1	49.31	processed_pseudogene			NA
ENSG00000226790	ENSG00000226790	HNRNPA3P1	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:13729]	10	43789249	43790387	-1	46.36	processed_pseudogene			NA
ENSG00000226791	ENSG00000226791	AC109826.1		2	98761938	98772920	-1	47.51	lincRNA			NA
ENSG00000226792	ENSG00000226792	C13orf42	chromosome 13 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:42693]	13	51082119	51200252	-1	41.97	protein_coding			647166
ENSG00000226794	ENSG00000226794	MTND1P20	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:42069]	10	69595487	69596436	-1	36.63	processed_pseudogene			NA
ENSG00000226795	ENSG00000226795	AL929561.2		CHR_HSCHR6_MHC_QBL_CTG1	29076560	29077155	-1	41.44	processed_pseudogene			NA
ENSG00000226796	ENSG00000226796	AL662826.1		CHR_HSCHR6_MHC_COX_CTG1	29570508	29571435	1	53.56	unprocessed_pseudogene			NA
ENSG00000226797	ENSG00000226797	AC005828.1		17	63381231	63414312	-1	39.96	antisense_RNA		Hs.662273	NA
ENSG00000226798	ENSG00000226798	AL138749.1		9	80869758	80871295	-1	34.72	lincRNA			NA
ENSG00000226799	ENSG00000226799	CR936918.1		CHR_HSCHR6_MHC_APD_CTG1	29266972	29267126	1	35.48	processed_transcript			101929006
ENSG00000226800	ENSG00000226800	CACTIN-AS1	CACTIN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:31391]	19	3607247	3613930	1	63.12	antisense_RNA		Hs.719726	404665
ENSG00000226801	ENSG00000226801	OSTCP8	oligosaccharyltransferase complex subunit pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:42869]	9	33968071	33968518	-1	44.2	processed_pseudogene			NA
ENSG00000226802	ENSG00000226802	AL442647.2		X	128440929	128441785	1	51.69	processed_pseudogene			NA
ENSG00000226803	ENSG00000226803	AL136311.1		6	57114894	57174236	-1	36.43	antisense_RNA			NA
ENSG00000226804	ENSG00000226804	AL359839.1		1	44150594	44151753	-1	42.16	processed_pseudogene			NA
ENSG00000226806	ENSG00000226806	AC011893.1		2	135820191	135823087	1	45.63	antisense_RNA		Hs.662020	100507600
ENSG00000226807	ENSG00000226807	MROH5	maestro heat like repeat family member 5 [Source:HGNC Symbol;Acc:HGNC:42976]	8	141433829	141507230	-1	51.36	polymorphic_pseudogene	, NM_207414	Hs.689547	389690
ENSG00000226808	ENSG00000226808	LINC00840	long intergenic non-protein coding RNA 840 [Source:HGNC Symbol;Acc:HGNC:44987]	10	43859411	43895433	1	44.9	lincRNA		Hs.462615	100506835
ENSG00000226810	ENSG00000226810	AC112198.1		5	54857272	54858491	1	40.25	processed_pseudogene			NA
ENSG00000226812	ENSG00000226812	AL117382.1		20	44347552	44355185	-1	45.94	antisense_RNA			NA
ENSG00000226813	ENSG00000226813	LINC01941	long intergenic non-protein coding RNA 1941 [Source:HGNC Symbol;Acc:HGNC:52764]	2	126110099	126117985	-1	35.77	lincRNA		Hs.555059	105373600
ENSG00000226814	ENSG00000226814	AL035407.1		1	192800571	192801141	1	38.35	processed_pseudogene			NA
ENSG00000226816	ENSG00000226816	AC005082.1		7	23205787	23208045	1	47.1	lincRNA			NA
ENSG00000226818	ENSG00000226818	SLC6A6P1	solute carrier family 6 member 6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:11053]	21	19244543	19246392	1	54.43	processed_pseudogene			NA
ENSG00000226819	ENSG00000226819	MEIS1-AS3	MEIS1 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:40369]	2	66426735	66433470	-1	42.16	antisense_RNA			NA
ENSG00000226820	ENSG00000226820	AL592049.1		X	66437345	66440668	1	45.67	unprocessed_pseudogene			NA
ENSG00000226822	ENSG00000226822	AL390036.1		1	108040263	108076020	1	40.15	lincRNA			NA
ENSG00000226823	ENSG00000226823	SUGT1P1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:19384]	9	33503655	33510711	-1	38.61	unprocessed_pseudogene			NA
ENSG00000226824	ENSG00000226824	AC006001.2		7	66654538	66669855	1	50.03	sense_intronic			NA
ENSG00000226825	ENSG00000226825	LINC01509	long intergenic non-protein coding RNA 1509 [Source:HGNC Symbol;Acc:HGNC:51193]	9	107420284	107430802	-1	47.93	lincRNA		Hs.571574	NA
ENSG00000226826	ENSG00000226826	HLA-DPB1	major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]	CHR_HSCHR6_MHC_SSTO_CTG1	33216374	33227649	1	48.11	protein_coding	NM_002121, 		3115
ENSG00000226827	ENSG00000226827	NPM1P11	nucleophosmin 1 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:7913]	7	11257681	11258535	-1	39.88	processed_pseudogene			NA
ENSG00000226828	ENSG00000226828	AL591885.1		1	243917402	244047317	1	42.51	lincRNA		Hs.209374	339529
ENSG00000226829	ENSG00000226829	AC093655.1		7	68150283	68288233	-1	43.62	lincRNA			NA
ENSG00000226831	ENSG00000226831	MED15P3	mediator complex subunit 15 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:48652]	2	131395217	131395542	-1	66.26	processed_pseudogene			NA
ENSG00000226832	ENSG00000226832	OR2B3	olfactory receptor family 2 subfamily B member 3 [Source:HGNC Symbol;Acc:HGNC:8238]	CHR_HSCHR6_MHC_SSTO_CTG1	29087135	29088141	-1	43	protein_coding	NM_001005226	Hs.553835	442184
ENSG00000226833	ENSG00000226833	AC092164.1		2	28708953	28736205	-1	43.53	antisense_RNA			NA
ENSG00000226834	ENSG00000226834	BX248310.1		CHR_HSCHR6_MHC_SSTO_CTG1	31301504	31302238	-1	63.4	unprocessed_pseudogene			NA
ENSG00000226835	ENSG00000226835	AC097059.1		1	94247866	94334848	1	41.18	lincRNA			107985092
ENSG00000226836	ENSG00000226836	AC018437.1		8	15943127	15943532	1	46.31	processed_pseudogene			NA
ENSG00000226837	ENSG00000226837	HMGB1P32	high mobility group box 1 pseudogene 32 [Source:HGNC Symbol;Acc:HGNC:39123]	X	98422138	98422809	1	41.22	processed_pseudogene			NA
ENSG00000226838	ENSG00000226838	AC096582.1		7	45816557	45821064	1	53.73	unprocessed_pseudogene			NA
ENSG00000226839	ENSG00000226839	MTND6P11	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:39474]	2	143094233	143094715	1	36.44	processed_pseudogene			NA
ENSG00000226840	ENSG00000226840	PAICSP3	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:38096]	6	73327524	73329017	1	44.31	processed_pseudogene			NA
ENSG00000226841	ENSG00000226841	MCCD1	mitochondrial coiled-coil domain 1 [Source:HGNC Symbol;Acc:HGNC:20668]	CHR_HSCHR6_MHC_SSTO_CTG1	31519466	31520981	1	57.59	protein_coding	NM_001011700		401250
ENSG00000226842	ENSG00000226842	AL158834.1		10	32281686	32282829	1	41.08	antisense_RNA			NA
ENSG00000226843	ENSG00000226843	AL606753.1		1	208255290	208255376	-1	35.63	processed_pseudogene			NA
ENSG00000226844	ENSG00000226844	AL662857.2		CHR_HSCHR6_MHC_COX_CTG1	29265149	29266108	-1	42.92	unprocessed_pseudogene			NA
ENSG00000226845	ENSG00000226845	EEF1GP3	eukaryotic translation elongation factor 1 gamma pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44558]	3	40596207	40597494	-1	50.93	processed_pseudogene			NA
ENSG00000226846	ENSG00000226846	LINC00348	long intergenic non-protein coding RNA 348 [Source:HGNC Symbol;Acc:HGNC:42658]	13	71015141	71168417	1	35.36	lincRNA		Hs.372660	100885781
ENSG00000226847	ENSG00000226847	PRPS1P1	phosphoribosyl pyrophosphate synthetase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39427]	2	164213539	164214414	1	38.58	processed_pseudogene			NA
ENSG00000226849	ENSG00000226849	AL109811.1		1	11068471	11073097	1	50.27	antisense_RNA			NA
ENSG00000226850	ENSG00000226850	ATP6V1G2	ATPase H+ transporting V1 subunit G2 [Source:HGNC Symbol;Acc:HGNC:862]	CHR_HSCHR6_MHC_MANN_CTG1	31583922	31586304	-1	49.1	protein_coding	NM_130463, NM_001204078, , NM_138282	Hs.249227	534
ENSG00000226851	ENSG00000226851	AC004112.1		7	112328189	112409623	-1	40.58	antisense_RNA		Hs.571243	NA
ENSG00000226853	ENSG00000226853	AC010894.2		2	174487389	174488386	1	45.09	lincRNA		Hs.637899	NA
ENSG00000226854	ENSG00000226854	AL451105.2		X	75903105	75904858	1	44.75	lincRNA			NA
ENSG00000226855	ENSG00000226855	RPSAP17	ribosomal protein SA pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:35707]	1	154378207	154379089	-1	52.32	processed_pseudogene			NA
ENSG00000226856	ENSG00000226856	AC093901.1		2	118132128	118186386	-1	41.17	lincRNA		Hs.116176	100506797
ENSG00000226857	ENSG00000226857	DUTP3	deoxyuridine triphosphatase pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:39516]	7	147146342	147146756	1	40.48	transcribed_processed_pseudogene			NA
ENSG00000226858	ENSG00000226858	ZFP57	ZFP57 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:18791]	CHR_HSCHR6_MHC_COX_CTG1	29668984	29677737	-1	48.25	protein_coding	, NM_001109809	Hs.156326	346171
ENSG00000226859	ENSG00000226859	LINC02051	long intergenic non-protein coding RNA 2051 [Source:HGNC Symbol;Acc:HGNC:52891]	3	186476727	186478370	1	47.75	lincRNA		Hs.574895	NA
ENSG00000226860	ENSG00000226860	AC109638.1		2	82609652	82609977	1	44.79	processed_pseudogene			NA
ENSG00000226861	ENSG00000226861	AL390835.1		10	8298897	8301667	1	39.19	lincRNA			NA
ENSG00000226862	ENSG00000226862	AC104463.2		1	202604268	202605293	1	49.9	antisense_RNA			NA
ENSG00000226863	ENSG00000226863	SHROOM2P1	shroom family member 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:631]	Y	12537773	12544883	1	47.93	unprocessed_pseudogene			NA
ENSG00000226864	ENSG00000226864	ATE1-AS1	ATE1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49496]	10	121928312	121951965	1	43.56	transcribed_unitary_pseudogene		Hs.650058	100130887
ENSG00000226867	ENSG00000226867	AC244505.4		X	52781452	52785786	-1	42.51	unprocessed_pseudogene			NA
ENSG00000226868	ENSG00000226868	AC096637.1		1	211715928	211725402	-1	43.8	lincRNA			NA
ENSG00000226869	ENSG00000226869	LHFPL3-AS1	LHFPL3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40341]	7	104738597	104804107	-1	41.39	processed_transcript		Hs.744236	645591
ENSG00000226870	ENSG00000226870	BX276092.2		X	71719142	71721278	1	60.22	transcribed_unprocessed_pseudogene			NA
ENSG00000226871	ENSG00000226871	AC135178.1		17	8318088	8318712	-1	55.2	antisense_RNA		Hs.579194	NA
ENSG00000226872	ENSG00000226872	AC002472.1		22	21031357	21043969	1	49.21	antisense_RNA			NA
ENSG00000226873	ENSG00000226873	CDY14P	chromodomain protein Y-linked 14 pseudogene [Source:HGNC Symbol;Acc:HGNC:23858]	Y	23674379	23675392	1	40.73	unprocessed_pseudogene			NA
ENSG00000226874	ENSG00000226874	AC005154.2		7	30544053	30544431	1	43.54	processed_pseudogene			NA
ENSG00000226875	ENSG00000226875	ZNF877P	zinc finger protein 877, pseudogene [Source:HGNC Symbol;Acc:HGNC:38697]	20	21265854	21266465	1	59.64	unprocessed_pseudogene			NA
ENSG00000226876	ENSG00000226876	AC092801.1		1	246108626	246113866	1	39.42	antisense_RNA		Hs.127406	NA
ENSG00000226877	ENSG00000226877	AL354733.1		9	83829656	83837861	1	33.1	antisense_RNA			NA
ENSG00000226878	ENSG00000226878	GSTM3P2	glutathione S-transferase mu 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38006]	2	159056005	159056859	-1	47.84	processed_pseudogene			NA
ENSG00000226879	ENSG00000226879	CR762479.1		CHR_HSCHR6_MHC_DBB_CTG1	33057389	33057798	1	47.32	processed_pseudogene			NA
ENSG00000226881	ENSG00000226881	H3F3AP5	H3 histone, family 3A, pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:42981]	X	50905438	50905866	1	49.42	processed_pseudogene			NA
ENSG00000226882	ENSG00000226882	GNL1	G protein nucleolar 1 (putative) [Source:HGNC Symbol;Acc:HGNC:4413]	CHR_HSCHR6_MHC_SSTO_CTG1	30533598	30549394	-1	49.56	protein_coding	NM_005275, 	Hs.83147	2794
ENSG00000226883	ENSG00000226883	AL035416.1		1	59754747	59789182	-1	39.62	antisense_RNA			NA
ENSG00000226884	ENSG00000226884	RPS29P10	ribosomal protein S29 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:37006]	2	61589498	61589663	-1	50.6	processed_pseudogene			NA
ENSG00000226885	ENSG00000226885	E2F6P3	E2F transcription factor 6 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:51451]	22	21268161	21268903	1	45.22	processed_pseudogene			NA
ENSG00000226886	ENSG00000226886	AC093787.1		2	132037787	132037993	-1	70.53	processed_pseudogene			NA
ENSG00000226887	ENSG00000226887	ERVMER34-1	endogenous retrovirus group MER34 member 1, envelope [Source:HGNC Symbol;Acc:HGNC:42970]	4	52722618	52751640	-1	41.32	protein_coding	, NM_001242690, NM_024534	Hs.363087	100288413
ENSG00000226888	ENSG00000226888	RPLP1P10	ribosomal protein lateral stalk subunit P1 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:35509]	10	59088701	59089039	-1	51.62	processed_pseudogene			NA
ENSG00000226889	ENSG00000226889	AL359541.1		1	161765325	161766227	-1	35.33	antisense_RNA			NA
ENSG00000226890	ENSG00000226890	Z97652.1		16	1625628	1626160	-1	57.41	antisense_RNA		Hs.604512	NA
ENSG00000226891	ENSG00000226891	LINC01359	long intergenic non-protein coding RNA 1359 [Source:HGNC Symbol;Acc:HGNC:50591]	1	64972225	65002489	-1	42.17	processed_transcript		Hs.734218	NA
ENSG00000226892	ENSG00000226892	C6orf10	chromosome 6 open reading frame 10 [Source:HGNC Symbol;Acc:HGNC:13922]	CHR_HSCHR6_MHC_DBB_CTG1	32268544	32347428	-1	38.05	protein_coding	NM_006781, , NM_001286474, NM_001286475	Hs.567414	10665
ENSG00000226893	ENSG00000226893	HLA-H	major histocompatibility complex, class I, H (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4965]	CHR_HSCHR6_MHC_COX_CTG1	29879284	29882006	1	60.67	unprocessed_pseudogene			NA
ENSG00000226896	ENSG00000226896	OR2I1P	olfactory receptor family 2 subfamily I member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8258]	CHR_HSCHR6_MHC_APD_CTG1	29553320	29554267	1	66.77	unprocessed_pseudogene			NA
ENSG00000226898	ENSG00000226898	UBD	ubiquitin D [Source:HGNC Symbol;Acc:HGNC:18795]	CHR_HSCHR6_MHC_APD_CTG1	29555714	29560028	-1	43.52	protein_coding	NM_006398	Hs.44532	10537
ENSG00000226899	ENSG00000226899	AL731577.1		10	124945204	124946432	-1	44.43	antisense_RNA			NA
ENSG00000226900	ENSG00000226900	AL451069.1		10	132511626	132518191	-1	52.3	lincRNA		Hs.142505	NA
ENSG00000226902	ENSG00000226902	CHCHD2P1	coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39585]	X	123785009	123785451	1	56.21	processed_pseudogene			NA
ENSG00000226903	ENSG00000226903	LINC00354	long intergenic non-protein coding RNA 354 [Source:HGNC Symbol;Acc:HGNC:42672]	13	111899985	111901176	1	52.6	lincRNA			NA
ENSG00000226904	ENSG00000226904	AL353608.2		9	68228651	68229312	1	33.53	antisense_RNA			NA
ENSG00000226905	ENSG00000226905	AC005040.1		2	106963193	106963674	1	42.95	processed_pseudogene			NA
ENSG00000226906	ENSG00000226906	TTTY4	testis-specific transcript, Y-linked 4 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:16481]	Y	22936455	22973284	1	42.25	lincRNA		Hs.679521, Hs.742604	114761
